Source_MCP,Source_VM_Name,Source_VM_IPV4,Source_VM_IPV6,Source_VM_OS,Source_VM_Displayname,Target_MCP,Target_VM_Name,Target_VM_IPV4,Target_VM_IPV6,Target_VM_OS,Target_VM_Displayname
NA12,11cda57c-ab6a-4ec2-ad01-6704225d43f6,10.0.0.10,2607:f480:211:1257:5076:9ff8:c151:cf9f,REDHAT7/64,XYZ company server app,NA9,98e343f1-c92f-4a13-b6f2-e0cc7ec6116c,10.0.0.8,2607:f480:111:1310:2f75:3ce7:77b5:88c9,REDHAT7/64,XYZ Company - App Server
NA12,92ca00c2-e31a-46aa-95b1-42324420e24b,10.0.0.9,2607:f480:211:1257:10dd:35c5:778f:2588,REDHAT7/64,XYZ company www,NA9,cb4bb99c-e7ae-42fd-823b-f99596043e18,10.0.0.9,2607:f480:111:1310:7b06:cec5:4caa:b779,REDHAT7/64,XYZ company web
